food,uses,our_kcal,usda_kcal,delta_pct,our_protein,usda_protein,our_carbs,usda_carbs,our_fat,usda_fat,usda_match,data_type
"leek",1,61,61.0,0.0,1.5,1.5,14,14.2,0.3,0.3,"Leeks, (bulb and lower leaf-portion), raw",SR Legacy
"miso paste",1,199,198.0,-0.5,12,12.8,26,25.4,6,6.0,"Miso",SR Legacy
"white miso paste",1,199,198.0,-0.5,12,12.8,26,25.4,6,6.0,"Miso",SR Legacy
"oyster sauce",1,51,51.0,0.0,1.4,1.4,11,10.9,0.3,0.3,"Sauce, oyster, ready-to-serve",SR Legacy
"sriracha",1,93,79.0,-15.1,1.9,1.9,19,15.9,0.9,0.9,"Sauce, hot chile, sriracha, TUONG OT SRIRACHA",SR Legacy
"flaxseed",1,534,534.0,0.0,18,18.3,29,28.9,42,42.2,"Seeds, flaxseed",SR Legacy
"dried wakame seaweed",1,45,45.0,0.0,3,3.0,9,9.1,0.6,0.6,"Seaweed, wakame, raw",SR Legacy
"tinned tuna in olive oil",1,189,198.0,4.8,25,29.1,0,0.0,10,8.2,"Fish, tuna, light, canned in oil, drained solids",SR Legacy
"tinned tuna",1,108,90.0,-16.7,25,19.0,0,0.1,0.8,0.9,"Fish, tuna, light, canned in water, drained solids",Foundation
"fresh thyme",1,101,101.0,0.0,5.6,5.6,24,24.4,1.7,1.7,"Thyme, fresh",SR Legacy
"tofu",0,144,144.0,0.0,17,17.3,2.8,2.8,8.7,8.7,"Tofu, raw, firm, prepared with calcium sulfate",SR Legacy
"tuna",0,108,90.0,-16.7,25,19.0,0,0.1,0.8,0.9,"Fish, tuna, light, canned in water, drained solids",Foundation
